[0.000000] (-) TimerEvent: {}
[0.000663] (-) JobUnselected: {'identifier': 'cpp_parameters'}
[0.000710] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000782] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000803] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000862] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000881] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000950] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000969] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001005] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001022] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001038] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001053] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001069] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001085] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001101] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001117] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001132] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001148] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001163] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001184] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001200] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001216] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001231] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001247] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001262] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001278] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.001293] (-) JobUnselected: {'identifier': 'my_package'}
[0.001309] (-) JobUnselected: {'identifier': 'polygon_base'}
[0.001324] (-) JobUnselected: {'identifier': 'polygon_plugins'}
[0.001339] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.001355] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.001370] (-) JobUnselected: {'identifier': 'python_parameters'}
[0.001385] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.001401] (-) EventReactorShutdown: {}
